Configuration	ECAM01
STM32CubeMX 	4.9.0
Date	08/13/2015
MCU	STM32F429ZITx



PERIPHERALS	MODES	FUNCTIONS	PINS
DCMI	Slave 10 bits External Synchro	DCMI_D0	PC6
DCMI	Slave 10 bits External Synchro	DCMI_D1	PC7
DCMI	Slave 10 bits External Synchro	DCMI_D2	PC8
DCMI	Slave 10 bits External Synchro	DCMI_D3	PC9
DCMI	Slave 10 bits External Synchro	DCMI_D4	PE4
DCMI	Slave 10 bits External Synchro	DCMI_D5	PD3
DCMI	Slave 10 bits External Synchro	DCMI_D6	PE5
DCMI	Slave 10 bits External Synchro	DCMI_D7	PE6
DCMI	Slave 10 bits External Synchro	DCMI_D8	PC10
DCMI	Slave 10 bits External Synchro	DCMI_D9	PC12
DCMI	Slave 10 bits External Synchro	DCMI_HSYNC	PA4
DCMI	Slave 10 bits External Synchro	DCMI_PIXCK	PA6
DCMI	Slave 10 bits External Synchro	DCMI_VSYNC	PG9
ETH	RMII	ETH_CRS_DV	PA7
ETH	RMII	ETH_MDC	PC1
ETH	RMII	ETH_MDIO	PA2
ETH	RMII	ETH_REF_CLK	PA1
ETH	RMII	ETH_RXD0	PC4
ETH	RMII	ETH_RXD1	PC5
ETH	RMII	ETH_TXD0	PB12
ETH	RMII	ETH_TXD1	PB13
ETH	RMII	ETH_TX_EN	PG11
FMC:SDRAM 1	SDCKE0+SDNE0	FMC_SDCKE0	PC3
FMC:SDRAM 1	SDCKE0+SDNE0	FMC_SDNE0	PC2
FMC:SDRAM 1	4 banks	FMC_BA0	PG4
FMC:SDRAM 1	4 banks	FMC_BA1	PG5
FMC:SDRAM 1	13 bits	FMC_A0	PF0
FMC:SDRAM 1	13 bits	FMC_A1	PF1
FMC:SDRAM 1	13 bits	FMC_A2	PF2
FMC:SDRAM 1	13 bits	FMC_A3	PF3
FMC:SDRAM 1	13 bits	FMC_A4	PF4
FMC:SDRAM 1	13 bits	FMC_A5	PF5
FMC:SDRAM 1	13 bits	FMC_A6	PF12
FMC:SDRAM 1	13 bits	FMC_A7	PF13
FMC:SDRAM 1	13 bits	FMC_A8	PF14
FMC:SDRAM 1	13 bits	FMC_A9	PF15
FMC:SDRAM 1	13 bits	FMC_A10	PG0
FMC:SDRAM 1	13 bits	FMC_SDCLK	PG8
FMC:SDRAM 1	13 bits	FMC_SDNCAS	PG15
FMC:SDRAM 1	13 bits	FMC_SDNRAS	PF11
FMC:SDRAM 1	13 bits	FMC_SDNWE	PC0
FMC:SDRAM 1	13 bits	FMC_A11	PG1
FMC:SDRAM 1	13 bits	FMC_A12	PG2
FMC:SDRAM 1	16 bits	FMC_D0	PD14
FMC:SDRAM 1	16 bits	FMC_D1	PD15
FMC:SDRAM 1	16 bits	FMC_D2	PD0
FMC:SDRAM 1	16 bits	FMC_D3	PD1
FMC:SDRAM 1	16 bits	FMC_D4	PE7
FMC:SDRAM 1	16 bits	FMC_D5	PE8
FMC:SDRAM 1	16 bits	FMC_D6	PE9
FMC:SDRAM 1	16 bits	FMC_D7	PE10
FMC:SDRAM 1	16 bits	FMC_D8	PE11
FMC:SDRAM 1	16 bits	FMC_D9	PE12
FMC:SDRAM 1	16 bits	FMC_D10	PE13
FMC:SDRAM 1	16 bits	FMC_D11	PE14
FMC:SDRAM 1	16 bits	FMC_D12	PE15
FMC:SDRAM 1	16 bits	FMC_D13	PD8
FMC:SDRAM 1	16 bits	FMC_D14	PD9
FMC:SDRAM 1	16 bits	FMC_D15	PD10
FMC:SDRAM 1	16-bit byte enable	FMC_NBL0	PE0
FMC:SDRAM 1	16-bit byte enable	FMC_NBL1	PE1
I2C1	I2C	I2C1_SCL	PB6
I2C1	I2C	I2C1_SDA	PB7
I2C2	I2C	I2C2_SCL	PB10
I2C2	I2C	I2C2_SDA	PB11
RCC	Crystal/Ceramic Resonator	RCC_OSC_IN	PH0/OSC_IN
RCC	Crystal/Ceramic Resonator	RCC_OSC_OUT	PH1/OSC_OUT
SYS	Serial Wire Debug (SWD)	SYS_JTCK-SWCLK	PA14
SYS	Serial Wire Debug (SWD)	SYS_JTMS-SWDIO	PA13
USART1	Asynchronous	USART1_RX	PA10
USART1	Asynchronous	USART1_TX	PA9
USART2	Asynchronous	USART2_RX	PA3
USART2	Asynchronous	USART2_TX	PD5
USART2	CTS/RTS	USART2_CTS	PA0/WKUP
USART2	CTS/RTS	USART2_RTS	PD4
USB_OTG_HS	Device_Only	USB_OTG_HS_DM	PB14
USB_OTG_HS	Device_Only	USB_OTG_HS_DP	PB15



Pin Nb	PINs	FUNCTIONs	LABELs
3	PE4	DCMI_D4	
4	PE5	DCMI_D6	
5	PE6	DCMI_D7	
10	PF0	FMC_A0	
11	PF1	FMC_A1	
12	PF2	FMC_A2	
13	PF3	FMC_A3	
14	PF4	FMC_A4	
15	PF5	FMC_A5	
23	PH0/OSC_IN	RCC_OSC_IN	
24	PH1/OSC_OUT	RCC_OSC_OUT	
26	PC0	FMC_SDNWE	
27	PC1	ETH_MDC	
28	PC2	FMC_SDNE0	
29	PC3	FMC_SDCKE0	
34	PA0/WKUP	USART2_CTS	
35	PA1	ETH_REF_CLK	
36	PA2	ETH_MDIO	
37	PA3	USART2_RX	
40	PA4	DCMI_HSYNC	
42	PA6	DCMI_PIXCK	
43	PA7	ETH_CRS_DV	
44	PC4	ETH_RXD0	
45	PC5	ETH_RXD1	
49	PF11	FMC_SDNRAS	
50	PF12	FMC_A6	
53	PF13	FMC_A7	
54	PF14	FMC_A8	
55	PF15	FMC_A9	
56	PG0	FMC_A10	
57	PG1	FMC_A11	
58	PE7	FMC_D4	
59	PE8	FMC_D5	
60	PE9	FMC_D6	
63	PE10	FMC_D7	
64	PE11	FMC_D8	
65	PE12	FMC_D9	
66	PE13	FMC_D10	
67	PE14	FMC_D11	
68	PE15	FMC_D12	
69	PB10	I2C2_SCL	
70	PB11	I2C2_SDA	
73	PB12	ETH_TXD0	
74	PB13	ETH_TXD1	
75	PB14	USB_OTG_HS_DM	
76	PB15	USB_OTG_HS_DP	
77	PD8	FMC_D13	
78	PD9	FMC_D14	
79	PD10	FMC_D15	
85	PD14	FMC_D0	
86	PD15	FMC_D1	
87	PG2	FMC_A12	
89	PG4	FMC_BA0	
90	PG5	FMC_BA1	
93	PG8	FMC_SDCLK	
96	PC6	DCMI_D0	
97	PC7	DCMI_D1	
